participant,half,segment_left_shoulder_right_shoulder,segment_left_hip_right_hip,segment_left_shoulder_left_elbow,segment_right_shoulder_right_elbow,segment_left_elbow_left_wrist,segment_right_elbow_right_wrist,segment_left_hip_left_knee,segment_right_hip_right_knee,segment_left_knee_left_ankle,segment_right_knee_right_ankle,segment_left_shoulder_left_hip,segment_right_shoulder_right_hip,mean_angle_L.Elbow,mean_angle_R.Elbow,mean_angle_L.Shoulder,mean_angle_R.Shoulder,mean_angle_L.Hip,mean_angle_R.Hip,mean_angle_L.Knee,mean_angle_R.Knee,mean_angle_L.Distal arm,mean_angle_R.Distal arm,mean_angle_L.Distal leg,mean_angle_R.Distal leg,mean_angle_Head/Neck
P68,first,142.557,93.205,113.464,106.464,80.7327,72.8702,83.2444,79.5276,174.02,180.721,165.585,165.987,119.627,143.068,11.3516,11.9993,171.5,149.327,161.763,152.586,34.2873,23.6953,6.3356,8.86527,160.567
P69,first,139.345,83.1268,85.9986,84.9464,69.4242,68.4814,68.0274,80.5069,161.275,151.382,150.909,150.607,124.553,121.115,34.119,28.5943,138.475,131.152,148.133,142.683,32.636,44.2073,9.28986,12.6619,164.539
P70,first,116.996,74.2184,88.0234,87.5874,58.2286,55.5127,69.7071,79.4021,139.856,146.331,130.358,130.11,109.392,121.572,14.3359,16.6471,103.289,151.143,109.712,148.734,47.9671,39.7786,10.4242,11.7674,160.329
P01,second,120.591,71.9759,94.7185,91.5206,82.3509,78.6566,75.0566,76.2018,103.663,115.353,128.318,126.857,153.952,166.489,13.3357,18.7998,173.623,146.654,161.682,146.425,13.6129,7.23674,7.60873,13.0514,153.681
P02,second,112.117,77.6311,88.3901,77.5413,35.9362,68.4094,85.3725,92.6808,149.906,131.219,124.826,120.73,100.34,93.859,22.7819,17.9461,175.892,151.585,166.894,144.171,56.0523,53.6302,5.17182,14.4612,161.75
P03,second,108.077,72.5405,80.9077,76.6772,87.649,72.4369,77.12,85.5403,157.82,162.705,131.911,124.524,109.971,90.8901,4.92088,13.9098,156.041,125.631,149.076,122.772,34.4482,43.0349,10.4155,17.0994,157.382
P04,second,103.89,74.5602,87.5246,82.4675,72.2712,59.6202,75.4448,67.939,134.621,137.253,133.062,129.933,149.599,152.72,4.50286,12.3017,152.431,153.642,159.385,150.112,17.3057,16.5621,7.5937,9.09001,163.282
P05,second,107.072,75.2344,75.8329,69.3108,59.9335,45.122,78.0677,50.7117,148.421,152.874,116.972,109.164,106.236,126.353,18.5323,16.817,147.534,139.088,126.224,135.814,43.2503,33.453,12.3615,8.24037,171.735
P06,second,120.165,95.7476,92.8462,92.5661,54.7734,56.8754,98.9681,25.0674,137.633,171.032,137.484,132.679,67.4316,71.0722,17.1042,13.89,154.893,128.402,139.763,154.347,83.4931,73.8113,16.6156,2.80418,172.267
P07,second,134.644,91.3596,96.4618,90.2138,91.035,76.7933,119.466,146.591,196.111,189.452,189.185,158.706,119.56,93.6626,23.4412,34.0865,157.311,125.759,153.54,118.727,25.8004,45.4824,10.2569,25.0821,161.526
P08,second,152.122,85.3316,109.896,100.355,69.3228,46.1636,99.4096,119.469,114.629,158.205,161.349,153.124,101.898,127.37,35.0954,19.4299,171.223,141.227,164.357,113.004,49.7647,34.6738,7.13501,27.3948,164.998
P09,second,131.665,77.1115,80.503,78.8999,74.5371,69.2365,90.4404,85.944,172.642,173.977,140.56,136.268,114.414,91.3847,14.4497,19.7007,176.165,168.653,174.559,166.284,31.8338,39.0894,1.89806,4.52444,167.111
P10,second,142.641,96.524,79.0497,89.8204,78.6456,95.9998,105.042,97.5844,183.226,196.638,151.918,154.824,96.7345,94.6446,26.6022,27.9571,172.598,120.843,169.256,128.65,43.4419,46.3477,3.75051,7.1237,154.201
P11,second,118.863,75.1395,86.8808,83.0579,55.7132,56.0367,69.8868,72.786,139.338,128.01,121.242,121.428,131.23,130.404,13.2573,13.8028,172.943,159.711,173.758,162.981,29.6559,28.5664,2.07391,6.15637,175.854
P12,second,130.741,92.1276,74.6642,71.6134,60.6093,49.7246,79.0932,83.3447,157.685,149.671,122.965,126.863,140.274,146.127,5.00416,19.31,171.06,150.13,157.559,150.995,22.1469,20.0052,7.58814,10.3297,172.831
P13,second,134.489,91.1069,99.7562,97.3056,41.5529,36.7201,80.8152,64.9984,157.991,163.762,92.853,109.528,153.79,142.944,21.1285,20.2164,133.771,105.225,139.23,140.206,17.9966,27.1982,13.5337,11.1015,142.054
P14,second,150.419,87.7484,99.3067,95.6822,75.1883,49.115,66.141,55.8439,191.942,192.265,184.009,169.521,105.1,130.191,12.1839,20.139,68.6458,113.355,98.624,97.696,45.041,34.8385,15.6277,7.31482,168.409
P15,second,151.385,99.8005,114.923,107.121,95.9769,79.4759,48.0366,106.976,204.401,194.87,177.035,176.916,127.544,147.512,11.1374,14.8744,137.406,113.31,152.592,119.926,30.4397,21.0819,5.19085,20.4641,168.959
P16,second,144.468,87.9413,91.0306,87.2303,82.8718,66.431,84.2609,85.5391,172.482,139.91,161.474,148.365,122.295,118.452,8.54524,9.49666,167.133,134.827,167.282,126.252,32.3168,35.52,4.2755,19.3477,166.452
P17,second,142.948,77.1224,105.261,106.027,67.8655,67.4191,80.7566,94.3725,166.732,165.639,146.494,144.991,128.901,120.441,15.9477,15.7505,137.421,123.115,134.918,117.102,31.8958,38.5312,14.4993,22.3639,160.599
P18,second,129.729,104.641,95.7746,90.264,76.5995,57.9525,60.9666,115.845,179.425,174.53,167.759,153.992,93.4615,121.682,13.4388,16.4347,113.249,173.85,154.575,169.086,52.8938,38.3198,6.52361,3.73249,166.115
P19,second,113.613,75.7998,82.8157,84.7192,74.7834,51.8827,85.3987,32.6768,155.116,158.753,134.053,123.968,73.5491,69.701,27.3567,23.2033,131.592,136.629,130.477,136.882,59.709,82.7477,17.2401,4.08662,156.621
P20,second,139.372,86.1023,111.903,102.433,71.8104,53.913,95.675,125.797,196.822,183.104,166.531,161.449,111.737,123.471,10.6964,31.1307,159.242,86.8948,148.161,17.4403,42.8597,38.8247,10.3072,31.5227,145.002
P21,second,124.998,77.7743,93.3428,93.437,65.0163,51.1653,75.0014,89.8281,182.367,160.127,131.883,144.612,58.7958,64.8757,36.2966,26.2027,161.481,120.177,150.449,40.8372,80.339,84.6712,8.53077,32.7204,163.009
P22,second,103.576,78.6268,87.64,84.6479,53.6702,58.6437,91.4915,65.2052,133.291,143.169,131.757,125.691,87.5466,91.1329,23.7685,8.62229,176.392,126.771,164.858,158.529,58.9487,54.3952,6.13476,6.7323,159.802
P23,second,144.819,92.5966,81.1093,98.3657,89.8918,77.2208,84.1586,107.37,177.323,168.479,142.781,132.696,77.5062,45.94,35.4287,64.3187,153.771,114.698,150.57,111.452,45.4206,92.6637,9.72254,17.6559,164.159
P24,second,136.378,84.8081,91.0824,88.9541,66.7753,51.5769,76.7951,90.1835,184.881,170.143,152.67,144.563,102.806,98.9552,48.9923,71.1714,164.323,124.402,155.915,132.02,43.3713,56.657,6.95894,16.1218,166.675
P25,second,114.58,77.9296,82.4587,76.4023,64.1853,44.4521,85.3152,75.7233,170.155,154.05,133.844,124.626,113.18,124.703,9.26922,12.8021,128.881,166.292,144.5,164.608,38.8452,34.8984,11.4319,5.15717,168.125
P26,second,119.193,87.336,80.2374,78.7421,75.0297,69.515,79.8734,77.9461,152.648,150.533,120.249,124.041,122.824,120.26,11.9476,24.8173,172.475,163.695,168.021,151.422,30.6753,31.8331,4.11305,10.1279,159.411
P27,second,115.987,67.4209,83.6844,80.5599,60.7072,41.0914,74.044,72.7675,160.193,150.876,130.133,131.459,98.1565,99.1671,22.1986,31.7027,166.992,86.7221,148.506,14.5556,50.7192,55.3027,9.62817,12.5388,174.065
P28,second,146.884,89.3875,108.395,105.942,81.2677,61.942,102.49,117.918,179.669,167.683,154.618,148.958,131.738,114.755,7.60267,16.2486,151.899,126.996,158.106,114.381,26.9949,40.7677,7.95255,26.5106,161.974
P29,second,126.022,84.8013,85.7035,84.1741,72.4959,52.5681,82.7676,96.399,149.055,155.581,127.688,126.337,138.071,145.618,7.32251,14.6896,174.52,143.549,156.425,151.397,23.2173,21.3991,9.09739,11.2838,173.117
P30,second,144.07,105.026,90.5836,83.9451,66.7679,55.8381,78.8631,46.3702,159.086,174.98,153.632,152.675,110.362,141.064,9.70499,16.8576,58.4473,166.632,105.311,165.43,42.5532,26.8691,22.27,2.92179,164.346
P31,second,148.861,88.6698,97.1136,98.0849,105.439,91.2383,111.328,126.12,197.799,178.471,166.44,157.075,111.768,97.4312,29.455,41.6451,170.205,139.091,159.235,124.754,31.719,33.8646,8.1226,22.6345,155.306
P32,second,107.957,63.9642,81.7993,75.0373,42.7186,58.9258,82.9648,92.8306,122.592,129.039,103.989,103.685,40.13,69.4534,26.1328,24.3476,175.438,140.663,169.033,135.047,116.522,70.6475,4.41088,19.2165,162.842
P33,second,122.641,90.4027,97.5351,93.7062,79.5089,64.3268,89.1701,85.9315,182.521,184.204,140.063,137.491,126.614,151.376,6.86417,11.2005,154.015,139.883,171.045,141.185,30.3889,17.4356,2.98323,12.0879,173.582
P34,second,164.149,98.7421,104.394,100.135,99.0362,57.934,81.29,80.4895,191.968,180.052,178.911,187.242,107.028,87.4654,17.8688,41.784,163.601,70.3873,162.596,28.2382,37.9846,65.3677,5.75906,13.5562,151.527
P35,second,117.58,70.7092,81.5258,80.6035,56.3433,42.1102,43.6927,70.9209,162.191,160.648,153.887,145.328,103.629,117.334,30.3759,36.1982,31.8772,141.439,33.7317,142.601,42.3473,36.9875,12.5424,10.9247,149.154
P36,second,130.054,91.8727,92.9185,97.2866,85.0087,74.8366,53.7448,58.0961,175.635,182.767,184.727,168.71,107.209,159.948,17.0197,27.8118,30.9037,136.444,92.2142,147.932,39.4948,11.9517,16.1456,7.417,169.43
P37,second,125.589,81.062,104.898,101.616,81.7482,71.928,75.8891,79.1269,166.047,159.553,148.571,148.938,140.653,149.702,6.57718,12.4397,171.71,158.773,171.929,164.029,22.0883,18.501,2.73455,5.96531,161.677
P38,second,114.507,81.149,86.3304,85.732,46.6769,33.4189,63.9684,71.9365,157.983,151.163,138.645,133.407,99.0794,113.113,13.1969,18.312,88.6246,170.801,119.939,174.018,53.6302,44.9546,15.5783,1.89241,165.085
P39,second,134.621,89.9285,91.0554,94.4591,85.4303,84.4613,54.9979,86.1441,181.27,187.974,164.496,155.227,76.0467,80.0741,15.8617,17.2564,86.7111,162.72,86.3238,164.66,58.6125,60.149,8.12967,4.75737,167.287
